ufn,municipio,codmun6,idhm,popt
Paraíba,SÃO JOSÉ DO BREJO DO CRUZ,251465,0.581,1656
Paraíba,SÃO JOSÉ DO SABUGI,251470,0.617,3983
Paraíba,SÃO JOSÉ DOS CORDEIROS,251480,0.556,3908
Paraíba,SÃO MAMEDE,251490,0.641,7723
Paraíba,SÃO MIGUEL DE TAIPU,251500,0.548,6444
Paraíba,SÃO SEBASTIÃO DE LAGOA DE ROÇA,251510,0.594,10818
Paraíba,SÃO SEBASTIÃO DO UMBUZEIRO,251520,0.581,3203
Paraíba,SAPÉ,251530,0.569,47888
Paraíba,SERIDÓ,251540,0.555,10040
Paraíba,SERRA BRANCA,251550,0.628,12806
Paraíba,SERRA DA RAIZ,251560,0.626,3162
Paraíba,SERRA GRANDE,251570,0.586,2899
Paraíba,SERRA REDONDA,251580,0.57,6883
Paraíba,SERRARIA,251590,0.547,6127
Paraíba,SERTÃOZINHO,251593,0.621,4360
Paraíba,SOBRADO,251597,0.573,6938
Paraíba,SOLÂNEA,251600,0.595,26426
Paraíba,SOLEDADE,251610,0.616,13633
Paraíba,SOSSÊGO,251615,0.573,3074
Paraíba,SOUSA,251620,0.668,64883
Paraíba,SUMÉ,251630,0.627,15844
Paraíba,TACIMA,251640,0.551,10118
Paraíba,TAPEROÁ,251650,0.578,14637
Paraíba,TAVARES,251660,0.586,13878
Paraíba,TEIXEIRA,251670,0.605,13921
Paraíba,TENÓRIO,251675,0.581,2805
Paraíba,TRIUNFO,251680,0.609,9195
Paraíba,UIRAÚNA,251690,0.636,14417
Paraíba,UMBUZEIRO,251700,0.584,9068
Paraíba,VÁRZEA,251710,0.707,2504
Paraíba,VIEIRÓPOLIS,251720,0.571,4980
Paraíba,ZABELÊ,251740,0.623,2063
Pernambuco,ABREU E LIMA,260005,0.679,93526
Pernambuco,AFOGADOS DA INGAZEIRA,260010,0.657,34539
Pernambuco,AFRÂNIO,260020,0.588,17009
Pernambuco,AGRESTINA,260030,0.592,22531
Pernambuco,ÁGUA PRETA,260040,0.553,31634
Pernambuco,ÁGUAS BELAS,260050,0.526,38943
Pernambuco,ALAGOINHA,260060,0.599,13480
Pernambuco,ALIANÇA,260070,0.604,36848
Pernambuco,ALTINHO,260080,0.598,21736
Pernambuco,AMARAJI,260090,0.58,21836
Pernambuco,ANGELIM,260100,0.572,9825
Pernambuco,ARAÇOIABA,260105,0.592,17683
Pernambuco,ARARIPINA,260110,0.602,75040
Pernambuco,ARCOVERDE,260120,0.667,67713
Pernambuco,BARRA DE GUABIRABA,260130,0.577,12675
Pernambuco,BARREIROS,260140,0.586,37384
Pernambuco,BELÉM DE MARIA,260150,0.578,11134
Pernambuco,BELÉM DO SÃO FRANCISCO,260160,0.642,19557
Pernambuco,BELO JARDIM,260170,0.629,71841
Pernambuco,BETÂNIA,260180,0.559,11554
Pernambuco,BEZERROS,260190,0.606,58193
Pernambuco,BODOCÓ,260200,0.565,34476
Pernambuco,BOM CONSELHO,260210,0.563,44385
Pernambuco,BOM JARDIM,260220,0.602,37212
Pernambuco,BONITO,260230,0.561,36915
Pernambuco,BREJÃO,260240,0.547,8686
Pernambuco,BREJINHO,260250,0.574,7167
Pernambuco,BREJO DA MADRE DE DEUS,260260,0.562,44827
Pernambuco,BUENOS AIRES,260270,0.593,12285
Pernambuco,BUÍQUE,260280,0.527,49892
Pernambuco,CABO DE SANTO AGOSTINHO,260290,0.686,183573
Pernambuco,CABROBÓ,260300,0.623,30280
Pernambuco,CACHOEIRINHA,260310,0.579,18494
Pernambuco,CAETÉS,260320,0.522,23051
Pernambuco,CALÇADO,260330,0.566,10916
Pernambuco,CALUMBI,260340,0.571,5602
Pernambuco,CAMARAGIBE,260345,0.692,143337
Pernambuco,CAMOCIM DE SÃO FÉLIX,260350,0.588,16958
Pernambuco,CAMUTANGA,260360,0.606,8025
Pernambuco,CANHOTINHO,260370,0.541,22835
Pernambuco,CAPOEIRAS,260380,0.549,18891
Pernambuco,CARNAÍBA,260390,0.583,18142
Pernambuco,CARNAUBEIRA DA PENHA,260392,0.573,11464
Pernambuco,CARPINA,260400,0.68,74096
Pernambuco,CARUARU,260410,0.677,310677
Pernambuco,CASINHAS,260415,0.567,13181
Pernambuco,CATENDE,260420,0.609,36256
Pernambuco,CEDRO,260430,0.615,10689
Pernambuco,CHÃ DE ALEGRIA,260440,0.604,12168
Pernambuco,CHÃ GRANDE,260450,0.599,19808
Pernambuco,CONDADO,260460,0.602,23291
Pernambuco,CORRENTES,260470,0.536,16993
Pernambuco,CORTÊS,260480,0.568,12150
Pernambuco,CUMARU,260490,0.572,16669
Pernambuco,CUPIRA,260500,0.592,23166
Pernambuco,CUSTÓDIA,260510,0.594,33202
Pernambuco,DORMENTES,260515,0.589,16785
Pernambuco,ESCADA,260520,0.632,63055
Pernambuco,EXU,260530,0.576,31096
Pernambuco,FEIRA NOVA,260540,0.6,20196
Pernambuco,FERNANDO DE NORONHA,260545,0.788,2127
Pernambuco,FERREIROS,260550,0.622,11364
Pernambuco,FLORES,260560,0.556,21612
Pernambuco,FLORESTA,260570,0.626,28900
Pernambuco,FREI MIGUELINHO,260580,0.576,13900
Pernambuco,GAMELEIRA,260590,0.602,27485
Pernambuco,GARANHUNS,260600,0.664,127599
Pernambuco,GLÓRIA DO GOITÁ,260610,0.604,28570
Pernambuco,GOIANA,260620,0.651,74701
Pernambuco,GRANITO,260630,0.595,6716
Pernambuco,GRAVATÁ,260640,0.634,75502
Pernambuco,IATI,260650,0.528,17460
Pernambuco,IBIMIRIM,260660,0.552,26198
Pernambuco,IBIRAJUBA,260670,0.58,7395
Pernambuco,IGARASSU,260680,0.665,101048
Pernambuco,IGUARACI,260690,0.598,11521
Pernambuco,INAJÁ,260700,0.523,18104
Pernambuco,INGAZEIRA,260710,0.608,4434
Pernambuco,IPOJUCA,260720,0.619,79377
Pernambuco,IPUBI,260730,0.55,27298
Pernambuco,ITACURUBA,260740,0.595,4349
Pernambuco,ITAÍBA,260750,0.51,25335
Pernambuco,ILHA DE ITAMARACÁ,260760,0.653,18029
Pernambuco,ITAMBÉ,260765,0.575,34644
Pernambuco,ITAPETIM,260770,0.592,13568
Pernambuco,ITAPISSUMA,260775,0.633,22741
Pernambuco,ITAQUITINGA,260780,0.586,15483
Pernambuco,JABOATÃO DOS GUARARAPES,260790,0.717,640722
Pernambuco,JAQUEIRA,260795,0.575,11128
Pernambuco,JATAÚBA,260800,0.53,15429
Pernambuco,JATOBÁ,260805,0.645,13482
Pernambuco,JOÃO ALFREDO,260810,0.576,29743
Pernambuco,JOAQUIM NABUCO,260820,0.554,15584
Pernambuco,JUCATI,260825,0.55,10412
Pernambuco,JUPI,260830,0.575,13490
Pernambuco,JUREMA,260840,0.509,14200
Pernambuco,LAGOA DO CARRO,260845,0.609,15659
Pernambuco,LAGOA DE ITAENGA,260850,0.602,20478
Pernambuco,LAGOA DO OURO,260860,0.525,11910
Pernambuco,LAGOA DOS GATOS,260870,0.551,15326
Pernambuco,LAGOA GRANDE,260875,0.597,22217
Pernambuco,LAJEDO,260880,0.611,36230
Pernambuco,LIMOEIRO,260890,0.663,53690
Pernambuco,MACAPARANA,260900,0.609,23535
Pernambuco,MACHADOS,260910,0.578,12308
Pernambuco,MANARI,260915,0.487,17753
Pernambuco,MARAIAL,260920,0.534,11704
Pernambuco,MIRANDIBA,260930,0.591,13479
Pernambuco,MORENO,260940,0.652,55929
Pernambuco,NAZARÉ DA MATA,260950,0.662,30500
Pernambuco,OLINDA,260960,0.735,375479
Pernambuco,OROBÓ,260970,0.61,21621
Pernambuco,OROCÓ,260980,0.61,12934
Pernambuco,OURICURI,260990,0.572,60970
Pernambuco,PALMARES,261000,0.622,57361
Pernambuco,PALMEIRINA,261010,0.549,8134
Pernambuco,PANELAS,261020,0.569,24776
Pernambuco,PARANATAMA,261030,0.537,10250
Pernambuco,PARNAMIRIM,261040,0.599,19680
Pernambuco,PASSIRA,261050,0.592,27610
Pernambuco,PAUDALHO,261060,0.639,50311
Pernambuco,PAULISTA,261070,0.732,299400
Pernambuco,PEDRA,261080,0.567,20465
Pernambuco,PESQUEIRA,261090,0.61,61383
Pernambuco,PETROLÂNDIA,261100,0.623,32257
Pernambuco,PETROLINA,261110,0.697,290022
Pernambuco,POÇÃO,261120,0.528,10783
Pernambuco,POMBOS,261130,0.598,23430
Pernambuco,PRIMAVERA,261140,0.58,13099
Pernambuco,QUIPAPÁ,261150,0.552,23881
Pernambuco,QUIXABA,261153,0.577,6673
Pernambuco,RECIFE,261160,0.772,1522583
Pernambuco,RIACHO DAS ALMAS,261170,0.57,18647
Pernambuco,RIBEIRÃO,261180,0.602,43834
Pernambuco,RIO FORMOSO,261190,0.613,21272
Pernambuco,SAIRÉ,261200,0.585,10980
Pernambuco,SALGADINHO,261210,0.534,8763
Pernambuco,SALGUEIRO,261220,0.669,55601
Pernambuco,SALOÁ,261230,0.559,14843
Pernambuco,SANHARÓ,261240,0.603,21746
Pernambuco,SANTA CRUZ,261245,0.549,13290
Pernambuco,SANTA CRUZ DA BAIXA VERDE,261247,0.612,11501
Pernambuco,SANTA CRUZ DO CAPIBARIBE,261250,0.648,86534
Pernambuco,SANTA FILOMENA,261255,0.533,12850
Pernambuco,SANTA MARIA DA BOA VISTA,261260,0.59,38221
Pernambuco,SANTA MARIA DO CAMBUCÁ,261270,0.548,12721
Pernambuco,SANTA TEREZINHA,261280,0.593,10705
Pernambuco,SÃO BENEDITO DO SUL,261290,0.53,13007
Pernambuco,SÃO BENTO DO UNA,261300,0.593,52012
Pernambuco,SÃO CAITANO,261310,0.591,34579
Pernambuco,SÃO JOÃO,261320,0.57,21095
Pernambuco,SÃO JOAQUIM DO MONTE,261330,0.537,20058
Pernambuco,SÃO JOSÉ DA COROA GRANDE,261340,0.608,17994
Pernambuco,SÃO JOSÉ DO BELMONTE,261350,0.61,31687
Pernambuco,SÃO JOSÉ DO EGITO,261360,0.635,31645
Pernambuco,SÃO LOURENÇO DA MATA,261370,0.653,101871
Pernambuco,SÃO VICENTE FERRER,261380,0.549,16730
Pernambuco,SERRA TALHADA,261390,0.661,78155
Pernambuco,SERRITA,261400,0.595,18025
Pernambuco,SERTÂNIA,261410,0.613,31130
Pernambuco,SIRINHAÉM,261420,0.597,39435
Pernambuco,MOREILÂNDIA,261430,0.6,10789
Pernambuco,SOLIDÃO,261440,0.585,5553
Pernambuco,SURUBIM,261450,0.635,57914
Pernambuco,TABIRA,261460,0.605,26017
Pernambuco,TACAIMBÓ,261470,0.554,12208
Pernambuco,TACARATU,261480,0.573,20848
Pernambuco,TAMANDARÉ,261485,0.593,20173
Pernambuco,TAQUARITINGA DO NORTE,261500,0.641,24551
Pernambuco,TEREZINHA,261510,0.545,6567
Pernambuco,TERRA NOVA,261520,0.599,9148
Pernambuco,TIMBAÚBA,261530,0.618,52986
Pernambuco,TORITAMA,261540,0.618,35271
Pernambuco,TRACUNHAÉM,261550,0.605,13009
Pernambuco,TRINDADE,261560,0.595,25696
Pernambuco,TRIUNFO,261570,0.67,14624
Pernambuco,TUPANATINGA,261580,0.519,22829
Pernambuco,TUPARETAMA,261590,0.634,7863
Pernambuco,VENTUROSA,261600,0.592,15874
Pernambuco,VERDEJANTE,261610,0.605,8919
Pernambuco,VERTENTE DO LÉRIO,261618,0.563,7625
Pernambuco,VERTENTES,261620,0.582,17951
Pernambuco,VICÊNCIA,261630,0.605,29974
Pernambuco,VITÓRIA DE SANTO ANTÃO,261640,0.64,128170
Pernambuco,XEXÉU,261650,0.552,13879
Alagoas,ÁGUA BRANCA,270010,0.549,18763
Alagoas,ANADIA,270020,0.568,16854
Alagoas,ARAPIRACA,270030,0.649,210938
Alagoas,ATALAIA,270040,0.561,42585
Alagoas,BARRA DE SANTO ANTÔNIO,270050,0.557,13989
Alagoas,BARRA DE SÃO MIGUEL,270060,0.615,7336
Alagoas,BATALHA,270070,0.594,16595
Alagoas,BELÉM,270080,0.593,4438
Alagoas,BELO MONTE,270090,0.517,6142
Alagoas,BOCA DA MATA,270100,0.604,25526
Alagoas,BRANQUINHA,270110,0.513,9759
Alagoas,CACIMBINHAS,270120,0.531,9823
Alagoas,CAJUEIRO,270130,0.562,19907
Alagoas,CAMPESTRE,270135,0.559,6420
Alagoas,CAMPO ALEGRE,270140,0.57,49398
Alagoas,CAMPO GRANDE,270150,0.524,8832
Alagoas,CANAPI,270160,0.506,16813
Alagoas,CAPELA,270170,0.573,16325
Alagoas,CARNEIROS,270180,0.526,7986
Alagoas,CHÃ PRETA,270190,0.575,6985
Alagoas,COITÉ DO NÓIA,270200,0.533,10568
Alagoas,COLÔNIA LEOPOLDINA,270210,0.517,19602
Alagoas,COQUEIRO SECO,270220,0.586,5502
Alagoas,CORURIPE,270230,0.626,51307
Alagoas,CRAÍBAS,270235,0.525,21418
Alagoas,DELMIRO GOUVEIA,270240,0.612,47123
Alagoas,DOIS RIACHOS,270250,0.532,10162
Alagoas,ESTRELA DE ALAGOAS,270255,0.534,16845
Alagoas,FEIRA GRANDE,270260,0.533,20415
Alagoas,FELIZ DESERTO,270270,0.565,4290
Alagoas,FLEXEIRAS,270280,0.527,12044
Alagoas,GIRAU DO PONCIANO,270290,0.536,34128
Alagoas,IBATEGUARA,270300,0.518,14795
Alagoas,IGACI,270310,0.564,24190
Alagoas,IGREJA NOVA,270320,0.568,22418
Alagoas,INHAPI,270330,0.484,15208
Alagoas,JACARÉ DOS HOMENS,270340,0.583,5285
Alagoas,JACUÍPE,270350,0.548,6921
Alagoas,JAPARATINGA,270360,0.57,7510
Alagoas,JARAMATAIA,270370,0.552,5439
Alagoas,JEQUIÁ DA PRAIA,270375,0.556,11786
Alagoas,JOAQUIM GOMES,270380,0.531,21694
Alagoas,JUNDIÁ,270390,0.562,4090
Alagoas,JUNQUEIRO,270400,0.575,23391
Alagoas,LAGOA DA CANOA,270410,0.552,17479
Alagoas,LIMOEIRO DE ANADIA,270420,0.58,25821
Alagoas,MACEIÓ,270430,0.721,921284
Alagoas,MAJOR ISIDORO,270440,0.566,18317
Alagoas,MARAGOGI,270450,0.574,27779
Alagoas,MARAVILHA,270460,0.569,10053
Alagoas,MARECHAL DEODORO,270470,0.642,45528
Alagoas,MARIBONDO,270480,0.597,13561
Alagoas,MAR VERMELHO,270490,0.577,3540
Alagoas,MATA GRANDE,270500,0.504,23897
Alagoas,MATRIZ DE CAMARAGIBE,270510,0.584,23542
Alagoas,MESSIAS,270520,0.568,15255
Alagoas,MINADOR DO NEGRÃO,270530,0.563,5017
Alagoas,MONTEIRÓPOLIS,270540,0.539,6829
Alagoas,MURICI,270550,0.527,24209
Alagoas,NOVO LINO,270560,0.521,11778
Alagoas,OLHO D'ÁGUA DAS FLORES,270570,0.565,20043
Alagoas,OLHO D'ÁGUA DO CASADO,270580,0.525,8186
Alagoas,OLHO D'ÁGUA GRANDE,270590,0.503,4827
Alagoas,OLIVENÇA,270600,0.493,10797
Alagoas,OURO BRANCO,270610,0.547,10719
Alagoas,PALESTINA,270620,0.558,5021
Alagoas,PALMEIRA DOS ÍNDIOS,270630,0.638,68474
Alagoas,PÃO DE AÇÚCAR,270640,0.593,23205
Alagoas,PARICONHA,270642,0.548,10124
Alagoas,PARIPUEIRA,270644,0.605,11221
Alagoas,PASSO DE CAMARAGIBE,270650,0.533,14497
Alagoas,PAULO JACINTO,270660,0.589,7350
Alagoas,PENEDO,270670,0.63,59563
Alagoas,PIAÇABUÇU,270680,0.572,16972
Alagoas,PILAR,270690,0.61,33025
Alagoas,PINDOBA,270700,0.574,2787
Alagoas,PIRANHAS,270710,0.589,22115
Alagoas,POÇO DAS TRINCHEIRAS,270720,0.526,13034
Alagoas,PORTO CALVO,270730,0.586,25280
Alagoas,PORTO DE PEDRAS,270740,0.541,8212
Alagoas,PORTO REAL DO COLÉGIO,270750,0.551,18689
Alagoas,QUEBRANGULO,270760,0.559,11290
Alagoas,RIO LARGO,270770,0.643,67396
Alagoas,ROTEIRO,270780,0.505,6555
Alagoas,SANTA LUZIA DO NORTE,270790,0.597,6830
Alagoas,SANTANA DO IPANEMA,270800,0.591,43775
Alagoas,SANTANA DO MUNDAÚ,270810,0.519,10334
Alagoas,SÃO BRÁS,270820,0.572,6635
Alagoas,SÃO JOSÉ DA LAJE,270830,0.573,22353
Alagoas,SÃO JOSÉ DA TAPERA,270840,0.527,29248
Alagoas,SÃO LUÍS DO QUITUNDE,270850,0.536,31951
Alagoas,SÃO MIGUEL DOS CAMPOS,270860,0.623,53886
Alagoas,SÃO MIGUEL DOS MILAGRES,270870,0.591,6981
Alagoas,SÃO SEBASTIÃO,270880,0.549,30646
Alagoas,SATUBA,270890,0.66,14500
Alagoas,SENADOR RUI PALMEIRA,270895,0.518,12517
Alagoas,TANQUE D'ARCA,270900,0.555,5961
Alagoas,TAQUARANA,270910,0.541,18274
Alagoas,TEOTÔNIO VILELA,270915,0.564,40429
Alagoas,TRAIPU,270920,0.532,24281
Alagoas,UNIÃO DOS PALMARES,270930,0.593,58713
Alagoas,VIÇOSA,270940,0.586,23723
Sergipe,AMPARO DE SÃO FRANCISCO,280010,0.611,2265
Sergipe,AQUIDABÃ,280020,0.578,19695
Sergipe,ARACAJU,280030,0.77,565029
Sergipe,ARAUÁ,280040,0.595,10714
Sergipe,AREIA BRANCA,280050,0.579,16154
Sergipe,BARRA DOS COQUEIROS,280060,0.649,24707
Sergipe,BOQUIM,280067,0.604,25304
Sergipe,BREJO GRANDE,280070,0.54,7608
Sergipe,CAMPO DO BRITO,280100,0.621,16596
Sergipe,CANHOBA,280110,0.569,3904
Sergipe,CANINDÉ DE SÃO FRANCISCO,280120,0.567,23639
Sergipe,CAPELA,280130,0.615,30151
Sergipe,CARIRA,280140,0.588,19603
Sergipe,CARMÓPOLIS,280150,0.643,13341
Sergipe,CEDRO DE SÃO JOÃO,280160,0.623,5598
Sergipe,CRISTINÁPOLIS,280170,0.553,15994
Sergipe,CUMBE,280190,0.604,3799
Sergipe,DIVINA PASTORA,280200,0.61,4268
Sergipe,ESTÂNCIA,280210,0.647,63892
Sergipe,FEIRA NOVA,280220,0.584,5269
Sergipe,FREI PAULO,280230,0.589,13666
Sergipe,GARARU,280240,0.564,10849
Sergipe,GENERAL MAYNARD,280250,0.645,2918
Sergipe,GRACHO CARDOSO,280260,0.577,5464
Sergipe,ILHA DAS FLORES,280270,0.562,8241
Sergipe,INDIAROBA,280280,0.58,15550
Sergipe,ITABAIANA,280290,0.642,86179
Sergipe,ITABAIANINHA,280300,0.556,38089
Sergipe,ITABI,280310,0.602,4891
Sergipe,ITAPORANGA D'AJUDA,280320,0.561,29045
Sergipe,JAPARATUBA,280330,0.621,16036
Sergipe,JAPOATÃ,280340,0.56,12653
Sergipe,LAGARTO,280350,0.625,93967
Sergipe,LARANJEIRAS,280360,0.642,26609
Sergipe,MACAMBIRA,280370,0.583,6347
Sergipe,MALHADA DOS BOIS,280380,0.599,3436
Sergipe,MALHADOR,280390,0.587,12030
Sergipe,MARUIM,280400,0.618,16147
Sergipe,MOITA BONITA,280410,0.587,10884
Sergipe,MONTE ALEGRE DE SERGIPE,280420,0.553,13276
Sergipe,MURIBECA,280430,0.626,7251
Sergipe,NEÓPOLIS,280440,0.589,17577
Sergipe,NOSSA SENHORA APARECIDA,280445,0.577,8478
Sergipe,NOSSA SENHORA DA GLÓRIA,280450,0.587,31878
Sergipe,NOSSA SENHORA DAS DORES,280460,0.6,24405
Sergipe,NOSSA SENHORA DE LOURDES,280470,0.598,6215
Sergipe,NOSSA SENHORA DO SOCORRO,280480,0.664,159606
Sergipe,PACATUBA,280490,0.555,12723
Sergipe,PEDRA MOLE,280500,0.593,2970
Sergipe,PEDRINHAS,280510,0.592,8659
Sergipe,PINHÃO,280520,0.583,5923
Sergipe,PIRAMBU,280530,0.603,8134
Sergipe,POÇO REDONDO,280540,0.529,29839
Sergipe,POÇO VERDE,280550,0.561,21785
Sergipe,PORTO DA FOLHA,280560,0.568,26384
Sergipe,PROPRIÁ,280570,0.661,28185
Sergipe,RIACHÃO DO DANTAS,280580,0.539,19142
Sergipe,RIACHUELO,280590,0.617,9137
Sergipe,RIBEIRÓPOLIS,280600,0.613,17005
Sergipe,ROSÁRIO DO CATETE,280610,0.631,9140
Sergipe,SALGADO,280620,0.609,19328
Sergipe,SANTA LUZIA DO ITANHY,280630,0.545,12630
Sergipe,SANTANA DO SÃO FRANCISCO,280640,0.59,6946
Sergipe,SANTA ROSA DE LIMA,280650,0.592,3707
Sergipe,SANTO AMARO DAS BROTAS,280660,0.637,11150
Sergipe,SÃO CRISTÓVÃO,280670,0.662,78216
Sergipe,SÃO DOMINGOS,280680,0.588,10130
Sergipe,SÃO FRANCISCO,280690,0.587,3339
Sergipe,SÃO MIGUEL DO ALEIXO,280700,0.567,3651
Sergipe,SIMÃO DIAS,280710,0.604,38000
Sergipe,SIRIRI,280720,0.609,7902
Sergipe,TELHA,280730,0.604,2928
Sergipe,TOBIAS BARRETO,280740,0.557,47319
Sergipe,TOMAR DO GERU,280750,0.551,12661
Sergipe,UMBAÚBA,280760,0.579,22312
Bahia,ABAÍRA,290010,0.603,8181
Bahia,ABARÉ,290020,0.575,16523
Bahia,ACAJUTIBA,290030,0.582,14395
Bahia,ADUSTINA,290035,0.546,15171
Bahia,ÁGUA FRIA,290040,0.55,15202
Bahia,ÉRICO CARDOSO,290050,0.584,10584
Bahia,AIQUARA,290060,0.583,4551
Bahia,ALAGOINHAS,290070,0.683,140694
Bahia,ALCOBAÇA,290080,0.608,20666
Bahia,ALMADINA,290090,0.563,6231
Bahia,AMARGOSA,290100,0.625,33780
Bahia,AMÉLIA RODRIGUES,290110,0.666,24782
Bahia,AMÉRICA DOURADA,290115,0.561,15713
Bahia,ANAGÉ,290120,0.54,24720
Bahia,ANDARAÍ,290130,0.555,13470
Bahia,ANDORINHA,290135,0.588,14110
Bahia,ANGICAL,290140,0.625,13563
Bahia,ANGUERA,290150,0.589,10069
Bahia,ANTAS,290160,0.592,16518
Bahia,ANTÔNIO CARDOSO,290170,0.561,11286
Bahia,ANTÔNIO GONÇALVES,290180,0.598,10808
Bahia,APORÁ,290190,0.548,17196
Bahia,APUAREMA,290195,0.552,7326
Bahia,ARACATU,290200,0.581,13560
Bahia,ARAÇAS,290205,0.57,11021
Bahia,ARACI,290210,0.534,49861
Bahia,ARAMARI,290220,0.588,9518
Bahia,ARATACA,290225,0.559,10245
Bahia,ARATUÍPE,290230,0.575,8403
Bahia,AURELINO LEAL,290240,0.568,13472
Bahia,BAIANÓPOLIS,290250,0.589,13384
Bahia,BAIXA GRANDE,290260,0.585,19486
Bahia,BANZAÊ,290265,0.579,11683
Bahia,BARRA,290270,0.557,47178
Bahia,BARRA DA ESTIVA,290280,0.575,20549
Bahia,BARRA DO CHOÇA,290290,0.551,33996
Bahia,BARRA DO MENDES,290300,0.63,13572
Bahia,BARRA DO ROCHA,290310,0.577,6163
Bahia,BARREIRAS,290320,0.721,135676
Bahia,BARRO ALTO,290323,0.607,13254
Bahia,BARROCAS,290327,0.61,14092
Bahia,BARRO PRETO,290330,0.602,6399
Bahia,BELMONTE,290340,0.598,21277
Bahia,BELO CAMPO,290350,0.575,15673
Bahia,BIRITINGA,290360,0.538,14034
Bahia,BOA NOVA,290370,0.567,15003
Bahia,BOA VISTA DO TUPIM,290380,0.551,16677
Bahia,BOM JESUS DA LAPA,290390,0.633,61281
Bahia,BOM JESUS DA SERRA,290395,0.546,9962
Bahia,BONINAL,290400,0.612,13316
Bahia,BONITO,290405,0.561,14667
Bahia,BOQUIRA,290410,0.603,21805
Bahia,BOTUPORÃ,290420,0.575,10815
Bahia,BREJÕES,290430,0.597,13765
Bahia,BREJOLÂNDIA,290440,0.592,10406
Bahia,BROTAS DE MACAÚBAS,290450,0.57,10359
Bahia,BRUMADO,290460,0.656,63823
Bahia,BUERAREMA,290470,0.613,17809
Bahia,BURITIRAMA,290475,0.565,18847
Bahia,CAATIBA,290480,0.561,11341
Bahia,CABACEIRAS DO PARAGUAÇU,290485,0.581,16946
Bahia,CACHOEIRA,290490,0.647,30718
Bahia,CACULÉ,290500,0.637,22059
Bahia,CAÉM,290510,0.546,10016
Bahia,CAETANOS,290515,0.542,13195
Bahia,CAETITÉ,290520,0.625,46447
Bahia,CAFARNAUM,290530,0.584,16984
Bahia,CAIRU,290540,0.627,15011
Bahia,CALDEIRÃO GRANDE,290550,0.573,12271
Bahia,CAMACAN,290560,0.581,30072
Bahia,CAMAÇARI,290570,0.694,241265
Bahia,CAMAMU,290580,0.565,34412
Bahia,CAMPO ALEGRE DE LOURDES,290590,0.557,27038
Bahia,CAMPO FORMOSO,290600,0.586,65476
Bahia,CANÁPOLIS,290610,0.565,9263
Bahia,CANARANA,290620,0.587,23676
Bahia,CANAVIEIRAS,290630,0.59,31841
Bahia,CANDEAL,290640,0.587,8715
Bahia,CANDEIAS,290650,0.691,82069
Bahia,CANDIBA,290660,0.591,13113
Bahia,CÂNDIDO SALES,290670,0.601,27028
Bahia,CANSANÇÃO,290680,0.557,32009
Bahia,CANUDOS,290682,0.562,15410
Bahia,CAPELA DO ALTO ALEGRE,290685,0.599,11241
Bahia,CAPIM GROSSO,290687,0.621,26189
Bahia,CARAÍBAS,290689,0.555,10127
Bahia,CARAVELAS,290690,0.616,20877
Bahia,CARDEAL DA SILVA,290700,0.552,8591
Bahia,CARINHANHA,290710,0.576,27798
Bahia,CASA NOVA,290720,0.57,63295
Bahia,CASTRO ALVES,290730,0.613,25080
Bahia,CATOLÂNDIA,290740,0.582,2473
Bahia,CATU,290750,0.677,50301
Bahia,CATURAMA,290755,0.571,8732
Bahia,CENTRAL,290760,0.596,16816
Bahia,CHORROCHÓ,290770,0.6,10328
Bahia,CÍCERO DANTAS,290780,0.585,31639
Bahia,CIPÓ,290790,0.601,15512
Bahia,COARACI,290800,0.613,20725
Bahia,COCOS,290810,0.596,17423
Bahia,CONCEIÇÃO DA FEIRA,290820,0.634,19939
Bahia,CONCEIÇÃO DO ALMEIDA,290830,0.606,17291
Bahia,CONCEIÇÃO DO COITÉ,290840,0.611,61081
Bahia,CONCEIÇÃO DO JACUÍPE,290850,0.663,29771
Bahia,CONDE,290860,0.56,22822
Bahia,CONDEÚBA,290870,0.582,16551
Bahia,CONTENDAS DO SINCORÁ,290880,0.577,4602
Bahia,CORAÇÃO DE MARIA,290890,0.592,21401
Bahia,CORDEIROS,290900,0.579,8104
Bahia,CORIBE,290910,0.6,13319
Bahia,CORONEL JOÃO SÁ,290920,0.535,16579
Bahia,CORRENTINA,290930,0.603,29543
Bahia,COTEGIPE,290940,0.59,13094
Bahia,CRAVOLÂNDIA,290950,0.599,4940
Bahia,CRISÓPOLIS,290960,0.543,19280
Bahia,CRISTÓPOLIS,290970,0.614,12946
Bahia,CRUZ DAS ALMAS,290980,0.699,57930
Bahia,CURAÇÁ,290990,0.581,31378
Bahia,DÁRIO MEIRA,291000,0.54,12368
Bahia,DIAS D'ÁVILA,291005,0.676,65719
Bahia,DOM BASÍLIO,291010,0.591,11188
Bahia,DOM MACEDO COSTA,291020,0.632,3833
Bahia,ELÍSIO MEDRADO,291030,0.623,7824
Bahia,ENCRUZILHADA,291040,0.544,22716
Bahia,ENTRE RIOS,291050,0.615,38596
Bahia,ESPLANADA,291060,0.589,32121
Bahia,EUCLIDES DA CUNHA,291070,0.567,54945
Bahia,EUNÁPOLIS,291072,0.677,99279
Bahia,FÁTIMA,291075,0.559,17518
Bahia,FEIRA DA MATA,291077,0.588,5902
Bahia,FEIRA DE SANTANA,291080,0.712,551435
Bahia,FILADÉLFIA,291085,0.565,16236
Bahia,FIRMINO ALVES,291090,0.578,5350
Bahia,FLORESTA AZUL,291100,0.557,10534
